"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_printer_get_language","0","0","1","2","3","4","5","6","7","8","9","10","11","12",
"str_usb","USB","USB","USB","USB","USB","USB","USB","USB","USB","USB","USB","USB","USB","USB",
"str_filament","Filament","Filament","Vlákno","Filament","Нити","Włókno","Szál","Filamento","Filamento","Filament","灯丝","フィラメント","Filamento","灯丝",
"str_3dmodelfolder","3D Model Folder","3D Model Folder","Složka 3D modelu","3D -Modellordner","3D -модель папка","Folder modelu 3D","3D -s modell mappa","Cartella modello 3D","Carpeta de modelo 3D","Dossier modèle 3D","3D模型文件夹","3Dモデルフォルダー","Pasta do modelo 3D","3D模型文件夹",
"str_3dprinterkitbase","3D Printer Kit Base","3D Printer Kit Base","3D základna tiskárny","3D -Drucker -Kit -Basis","Основание набора 3D -принтеров","Baza zestawu do drukarki 3D","3D nyomtatókészlet alap","Base kit di stampanti 3D","Base de kit de impresora 3D","Base de kit d'imprimante 3D","3D打印机套件基础","3Dプリンターキットベース","Base de kit de impressora 3D","3D打印机套件基础",
"str_baseentitywarning","THIS IS A BASE ENTITY. DO NOT SPAWN IT OR USE IT.","THIS IS A BASE ENTITY. DO NOT SPAWN IT OR USE IT.","Toto je základní entita. Nevytvářejte to ani jej nepoužívejte.","Dies ist eine Basiseinheit. Laiche es nicht oder benutze es.","Это базовая сущность. Не породите его и не используйте.","To jest istota podstawowa. Nie odradzaj go ani nie używaj.","Ez egy alap entitás. Ne szedje és ne használja.","Questa è un'entità base. Non generare o usarlo.","Esta es una entidad base. No lo engendre ni lo use.","Il s'agit d'une entité de base. Ne le frayez pas et ne l'utilisez pas.","这是一个基本实体。不要生存或使用它。","これは基本エンティティです。スポーンしたり、使用したりしないでください。","Esta é uma entidade base. Não gera ou use.","这是一个基本实体。不要生存或使用它。",
"str_3dprinterkit","3D Printer Kit","3D Printer Kit","Kit 3D tiskárny","3D -Drucker -Kit","3D Printer Kit","Zestaw do drukarki 3D","3D nyomtatókészlet","Kit stampante 3D","Kit de impresora 3D","Kit d'imprimante 3D","3D打印机套件","3Dプリンターキット","Kit de impressora 3D","3D打印机套件",
"str_3dprinterkitdesc","3D Printer Kit. (Made by rustic.)","3D Printer Kit. (Made byrustic.)","Kit 3D tiskárny. (Vyrobenorustic.)","3D -Drucker -Kit. (Gemacht vonrustic.)","3D Printer Kit. (Сделаноrustic.)","Zestaw do drukarki 3D. (Wykonane przezrustic.)","3D nyomtatókészlet. (Készítetterustic.)","Kit stampante 3D. (Realizzato darustic.)","Kit de impresora 3D. (Hecho porrustic.)","Kit d'imprimante 3D. (Fabriqué parrustic.)","3D打印机套件。 （由rustic.）","3Dプリンターキット。 （製造rustic.））","Kit de impressora 3D. (Feito porrustic.)","3D打印机套件。 （由rustic.）",
"str_3dprinterkit1000","3D Printer Kit (1000 Slots)","3D Printer Kit (1000 Slots)","Kit 3D tiskárny (1000 slotů)","3D -Drucker -Kit (1000 Slots)","3D Printer Kit (1000 слотов)","Zestaw do drukarki 3D (1000 gniazd)","3D nyomtatókészlet (1000 rés)","Kit stampante 3D (1000 slot)","Kit de impresora 3D (1000 ranuras)","Kit d'imprimante 3D (1000 emplacements)","3D打印机套件（1000个插槽）","3Dプリンターキット（1000スロット）","Kit de impressora 3D (1000 slots)","3D打印机套件（1000个插槽）",
"str_3dprinterkit1000desc","3D Printer Kit. (1000 Slots) (Made by rustic.)","3D Printer Kit. (1000 Slots) (Made byrustic.)","Kit 3D tiskárny. (1000 slotů) (vyrobenorustic.)","3D -Drucker -Kit. (1000 Slots) (gemacht vonrustic.)","3D Printer Kit. (1000 слотов) (сделаноrustic.)","Zestaw do drukarki 3D. (1000 automatów) (wykonane przezrustic.)","3D nyomtatókészlet. (1000 rés) (készítette:rustic.)","Kit stampante 3D. (1000 slot) (realizzato darustic.)","Kit de impresora 3D. (1000 espacios) (hecho porrustic.)","Kit d'imprimante 3D. (1000 emplacements) (fabriqué parrustic.)","3D打印机套件。 （1000个插槽）（由rustic.）","3Dプリンターキット。 （1000スロット）（製造rustic.））","Kit de impressora 3D. (1000 slots) (feito porrustic.)","3D打印机套件。 （1000个插槽）（由rustic.）",
"str_filingcabinetkit","Filing Cabinet Kit","Filing Cabinet Kit","Souprava skříně","Kabinettsetkabine","КОМПЛЕКТ ПИСЬМО","Zestaw gabinetu","Iratszekrény","Kit di archiviazione","Kit de archivador","Kit de classeur","档案柜套件","ファイリングキャビネットキット","Kit de arquivamento do gabinete","档案柜套件",
"str_filingcabinetkitdesc","Filing Cabinet Kit. (Made by rustic.)","Filing Cabinet Kit. (Made byrustic.)","Souprava skříně. (Vyrobenorustic.)","Kabinettsetkabine. (Gemacht vonrustic.)","КОМПЛЕКТ ПИСЬМО. (Сделаноrustic.)","Zestaw gabinetu. (Wykonane przezrustic.)","Idényszekrény -készlet. (Készítetterustic.)","Kit di archiviazione. (Realizzato darustic.)","Kit de archivado. (Hecho porrustic.)","Kit de classement. (Fabriqué parrustic.)","档案柜套件。 （由rustic.）","ファイリングキャビネットキット。 （製造rustic.））","Kit de arquivamento do gabinete. (Feito porrustic.)","档案柜套件。 （由rustic.）",
"str_3dmodelusb","3D Model USB","3D Model USB","3D model USB","3D -Modell USB","3D модель USB","Model 3D USB","3D -s usb modell","Modello 3D USB","Modelo 3D USB","Modèle 3D USB","3D模型USB","3DモデルUSB","Modelo 3D USB","3D模型USB",
"str_3dmodelusbdesc","A USB to store 3D Model files for the 3D Printer. (Made by rustic.)","A USB to store 3D Model files for the 3D Printer. (Made byrustic.)","USB pro uložení 3D modelů pro 3D tiskárnu. (Vyrobenorustic.)","Ein USB zum Speichern von 3D -Modelldateien für den 3D -Drucker. (Gemacht vonrustic.)","USB для хранения файлов 3D модели для 3D -принтера. (Сделаноrustic.)","USB do przechowywania plików modeli 3D dla drukarki 3D. (Wykonane przezrustic.)","USB a 3D -s modell fájlok tárolására a 3D nyomtatóhoz. (Készítetterustic.)","Un USB per archiviare i file del modello 3D per la stampante 3D. (Realizzato darustic.)","Un USB para almacenar archivos de modelo 3D para la impresora 3D. (Hecho porrustic.)","Un USB pour stocker des fichiers de modèle 3D pour l'imprimante 3D. (Fabriqué parrustic.)","一个用于存储3D打印机的3D模型文件的USB。 （由rustic.）","3Dプリンター用の3Dモデルファイルを保存するUSB​​。 （製造rustic.））","Um USB para armazenar arquivos de modelo 3D para a impressora 3D. (Feito porrustic.)","一个用于存储3D打印机的3D模型文件的USB。 （由rustic.）",
"str_3dprinter","3D Printer","3D Printer","3D tiskárna","3D -Drucker","3D принтер","Drukarka 3D","3D nyomtató","Stampante 3D","Impresora 3D","Imprimante 3D","3D打印机","3Dプリンター","Impressora 3D","3D打印机",
"str_3dprinterdesc","3D Printer - Prints objects from blueprints. (Made by rustic.)","3D Printer - Prints objects from blueprints. (Made byrustic.)","3D tiskárna - tiskne objekty z plánů. (Vyrobenorustic.)","3D -Drucker - druckt Objekte aus Blaupausen. (Gemacht vonrustic.)","3D -принтер - печатает объекты из чертежей. (Сделаноrustic.)","Drukarka 3D - drukuje obiekty z planów. (Wykonane przezrustic.)","3D nyomtató - objektumokat nyomtat a tervrajzokból. (Készítetterustic.)","Stampante 3D - Stampa oggetti da progetti. (Realizzato darustic.)","Impresora 3D: imprime objetos de BluePrints. (Hecho porrustic.)","Imprimante 3D - Imprime les objets de Blueprints. (Fabriqué parrustic.)","3D打印机 - 从蓝图打印对象。 （由rustic.）","3Dプリンター - 青写真からオブジェクトを印刷します。 （製造rustic.））","Impressora 3D - Imprime objetos de projetos. (Feito porrustic.)","3D打印机 - 从蓝图打印对象。 （由rustic.）",
"str_filingcabinet","Filing Cabinet","Filing Cabinet","Podání skříně","Kabinett","Шкаф для подачи","Gabinet","Iratszekrény","Mobile di archiviazione","Archivador","Classeur","档案柜","ファイリングキャビネット","Gabinete de arquivamento","档案柜",
"str_filingcabinetdesc","Filing Cabinet - Stores 3D Model Folders (Made by rustic.)","Filing Cabinet - Stores 3D Model Folders (Made byrustic.)","Filing Cabinet - Ukládá složky 3D modelu (vyrobené odrustic.)","Aktenschrank - Speichert 3D -Modellordner (hergestellt vonrustic.)","Шкаф для регистрации - хранит 3D -модели папки (сделанныеrustic.)","Gabinet z dokumentami - przechowuje foldery modelu 3D (wykonane przezrustic.)","Idénykabinet - tárolja a 3D -s modell mappákat (készítette:rustic.)","Armadio di archiviazione - Stores 3D Cartelle di modello (realizzate darustic.)","Archivo de archivos - tiendas carpetas de modelo 3D (hechas porrustic.)","Classeur - stocke les dossiers de modèles 3D (fabriqués parrustic.)","文件柜 - 存储3D型号文件夹（由rustic.）","ファイリングキャビネット-3Dモデルフォルダー（製造rustic.））","Gabinete de arquivamento - armazena pastas do modelo 3D (feita porrustic.)","文件柜 - 存储3D型号文件夹（由rustic.）",
"str_drawer1","Drawer 1","Drawer 1","Zásuvka 1","Schublade 1","Ящик 1","Szuflada 1","1. fiók","Cassetto 1","Cajón 1","Tiroir 1","抽屉1","引き出し1","Gaveta 1","抽屉1",
"str_drawer2","Drawer 2","Drawer 2","Zásuvka 2","Schublade 2","Ящик 2","Szuflada 2","2. fiók","Cassetto 2","Cajón 2","Tiroir 2","抽屉2","引き出し2","Gaveta 2","抽屉2",
"str_drawer3","Drawer 3","Drawer 3","Zásuvka 3","Schublade 3","Ящик 3","Szuflada 3","3. fiók","Cassetto 3","Cajón 3","Tiroir 3","抽屉3","引き出し3","Gaveta 3","抽屉3",
"str_printermenu_title","3D Printer - Print High Quality Objects","3D Printer - Print High Quality Objects","3D tiskárna - Tisk vysoce kvalitních objektů","3D -Drucker - hochwertige Objekte drucken","3D -принтер - распечатать высококачественные объекты","Drukarka 3D - wydrukuj obiekty wysokiej jakości","3D nyomtató - Kiváló minőségű objektumok nyomtatása","Stampante 3D - Stampa oggetti di alta qualità","Impresora 3D: imprima objetos de alta calidad","Imprimante 3D - Imprimer des objets de haute qualité","3D打印机 - 打印高质量的物体","3Dプリンター - 高品質のオブジェクトを印刷します","Impressora 3D - Imprimir objetos de alta qualidade","3D打印机 - 打印高质量的物体",
